"DateRep","Cases","Deaths","Countries.and.territories"
"30/12/2019",0,0,"France_1st"
"31/12/2019",0,0,"France_1st"
"01/01/2020",0,0,"France_1st"
"02/01/2020",0,0,"France_1st"
"03/01/2020",0,0,"France_1st"
"04/01/2020",0,0,"France_1st"
"05/01/2020",0,0,"France_1st"
"06/01/2020",0,0,"France_1st"
"07/01/2020",0,0,"France_1st"
"08/01/2020",0,0,"France_1st"
"09/01/2020",0,0,"France_1st"
"10/01/2020",0,0,"France_1st"
"11/01/2020",0,0,"France_1st"
"12/01/2020",0,0,"France_1st"
"13/01/2020",0,0,"France_1st"
"14/01/2020",0,0,"France_1st"
"15/01/2020",0,0,"France_1st"
"16/01/2020",0,0,"France_1st"
"17/01/2020",0,0,"France_1st"
"18/01/2020",0,0,"France_1st"
"19/01/2020",0,0,"France_1st"
"20/01/2020",0,0,"France_1st"
"21/01/2020",0,0,"France_1st"
"22/01/2020",0,0,"France_1st"
"23/01/2020",0,0,"France_1st"
"24/01/2020",3,0,"France_1st"
"25/01/2020",0,0,"France_1st"
"26/01/2020",0,0,"France_1st"
"27/01/2020",0,0,"France_1st"
"28/01/2020",1,0,"France_1st"
"29/01/2020",1,0,"France_1st"
"30/01/2020",1,0,"France_1st"
"31/01/2020",0,0,"France_1st"
"01/02/2020",0,0,"France_1st"
"02/02/2020",0,0,"France_1st"
"03/02/2020",0,0,"France_1st"
"04/02/2020",0,0,"France_1st"
"05/02/2020",0,0,"France_1st"
"06/02/2020",0,0,"France_1st"
"07/02/2020",5,0,"France_1st"
"08/02/2020",0,0,"France_1st"
"09/02/2020",0,0,"France_1st"
"10/02/2020",0,0,"France_1st"
"11/02/2020",0,0,"France_1st"
"12/02/2020",0,0,"France_1st"
"13/02/2020",0,0,"France_1st"
"14/02/2020",0,1,"France_1st"
"15/02/2020",0,0,"France_1st"
"16/02/2020",1,0,"France_1st"
"17/02/2020",0,0,"France_1st"
"18/02/2020",0,0,"France_1st"
"19/02/2020",0,0,"France_1st"
"20/02/2020",0,0,"France_1st"
"21/02/2020",0,0,"France_1st"
"22/02/2020",0,0,"France_1st"
"23/02/2020",0,0,"France_1st"
"24/02/2020",0,0,"France_1st"
"25/02/2020",2,0,"France_1st"
"26/02/2020",3,1,"France_1st"
"27/02/2020",21,0,"France_1st"
"28/02/2020",19,0,"France_1st"
"29/02/2020",43,0,"France_1st"
"01/03/2020",30,0,"France_1st"
"02/03/2020",48,1,"France_1st"
"03/03/2020",34,1,"France_1st"
"04/03/2020",73,0,"France_1st"
"05/03/2020",138,3,"France_1st"
"06/03/2020",190,2,"France_1st"
"07/03/2020",103,1,"France_1st"
"08/03/2020",410,9,"France_1st"
"09/03/2020",286,11,"France_1st"
"10/03/2020",372,3,"France_1st"
"11/03/2020",497,15,"France_1st"
"12/03/2020",595,13,"France_1st"
"13/03/2020",785,18,"France_1st"
"14/03/2020",838,12,"France_1st"
"15/03/2020",924,36,"France_1st"
"16/03/2020",1210,21,"France_1st"
"17/03/2020",1097,27,"France_1st"
"18/03/2020",1404,69,"France_1st"
"19/03/2020",1861,128,"France_1st"
"20/03/2020",1617,78,"France_1st"
"21/03/2020",1847,112,"France_1st"
"22/03/2020",2230,112,"France_1st"
"23/03/2020",3167,186,"France_1st"
"24/03/2020",2446,240,"France_1st"
"25/03/2020",2931,288,"France_1st"
"26/03/2020",3922,307,"France_1st"
"27/03/2020",3809,299,"France_1st"
"28/03/2020",4611,320,"France_1st"
"29/03/2020",2599,292,"France_1st"
"30/03/2020",4376,418,"France_1st"
"31/03/2020",7578,499,"France_1st"
"01/04/2020",4861,509,"France_1st"
"02/04/2020",2116,471,"France_1st"
"03/04/2020",5233,588,"France_1st"
"04/04/2020",4267,441,"France_1st"
"05/04/2020",1873,357,"France_1st"
"06/04/2020",3912,605,"France_1st"
"07/04/2020",3777,597,"France_1st"
"08/04/2020",3881,541,"France_1st"
"09/04/2020",4286,412,"France_1st"
"10/04/2020",4342,554,"France_1st"
"11/04/2020",3114,345,"France_1st"
"12/04/2020",1613,310,"France_1st"
"13/04/2020",2673,335,"France_1st"
"14/04/2020",5497,541,"France_1st"
"15/04/2020",2633,514,"France_1st"
"16/04/2020",2641,417,"France_1st"
"17/04/2020",405,418,"France_1st"
"18/04/2020",2569,364,"France_1st"
"19/04/2020",785,227,"France_1st"
"20/04/2020",2051,444,"France_1st"
"21/04/2020",2667,387,"France_1st"
"22/04/2020",1827,336,"France_1st"
"23/04/2020",1653,311,"France_1st"
"24/04/2020",1773,305,"France_1st"
"25/04/2020",1537,198,"France_1st"
"26/04/2020",461,152,"France_1st"
"27/04/2020",3764,295,"France_1st"
"28/04/2020",1520,191,"France_1st"
"29/04/2020",1417,365,"France_1st"
"30/04/2020",1139,191,"France_1st"
"01/05/2020",604,125,"France_1st"
"02/05/2020",794,118,"France_1st"
"03/05/2020",308,96,"France_1st"
"04/05/2020",576,243,"France_1st"
"05/05/2020",1104,234,"France_1st"
"06/05/2020",4183,177,"France_1st"
"07/05/2020",629,149,"France_1st"
"08/05/2020",642,111,"France_1st"
"09/05/2020",433,76,"France_1st"
"10/05/2020",209,69,"France_1st"
"11/05/2020",456,178,"France_1st"
"12/05/2020",708,183,"France_1st"
"13/05/2020",507,98,"France_1st"
"14/05/2020",622,123,"France_1st"
"15/05/2020",563,118,"France_1st"
"16/05/2020",372,70,"France_1st"
"17/05/2020",120,54,"France_1st"
"18/05/2020",492,123,"France_1st"
"19/05/2020",524,125,"France_1st"
"20/05/2020",418,98,"France_1st"
"21/05/2020",318,58,"France_1st"
"22/05/2020",393,74,"France_1st"
"23/05/2020",250,43,"France_1st"
"24/05/2020",115,35,"France_1st"
"25/05/2020",358,90,"France_1st"
"26/05/2020",276,83,"France_1st"
"27/05/2020",191,65,"France_1st"
"28/05/2020",3325,66,"France_1st"
"29/05/2020",597,61,"France_1st"
"30/05/2020",1828,57,"France_1st"
"31/05/2020",257,31,"France_1st"
"01/06/2020",338,31,"France_1st"
"02/06/2020",766,84,"France_1st"
"03/06/2020",352,81,"France_1st"
"04/06/2020",767,44,"France_1st"
"05/06/2020",611,46,"France_1st"
"06/06/2020",579,31,"France_1st"
"07/06/2020",343,13,"France_1st"
"08/06/2020",211,54,"France_1st"
"09/06/2020",403,53,"France_1st"
"10/06/2020",545,23,"France_1st"
"11/06/2020",425,27,"France_1st"
"12/06/2020",726,28,"France_1st"
"13/06/2020",526,24,"France_1st"
"14/06/2020",407,9,"France_1st"
"15/06/2020",152,29,"France_1st"
"16/06/2020",344,38,"France_1st"
"17/06/2020",458,28,"France_1st"
"18/06/2020",467,28,"France_1st"
"19/06/2020",811,14,"France_1st"
"20/06/2020",641,16,"France_1st"
"21/06/2020",284,7,"France_1st"
"22/06/2020",373,23,"France_1st"
"23/06/2020",517,26,"France_1st"
"24/06/2020",81,11,"France_1st"
"25/06/2020",0,21,"France_1st"
"26/06/2020",1588,26,"France_1st"
"27/06/2020",518,15,"France_1st"
"28/06/2020",526,2,"France_1st"
"29/06/2020",280,18,"France_1st"
"30/06/2020",541,21,"France_1st"
"01/07/2020",918,18,"France_1st"
"02/07/2020",659,14,"France_1st"
"03/07/2020",582,18,"France_1st"
"04/07/2020",751,12,"France_1st"
"05/07/2020",448,2,"France_1st"
"06/07/2020",176,13,"France_1st"
"07/07/2020",475,34,"France_1st"
"08/07/2020",663,32,"France_1st"
"09/07/2020",621,14,"France_1st"
"10/07/2020",658,25,"France_1st"
