"","X","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t","total.active"
"1",5804,"31/12/2019",31,12,2019,0,0,"Iceland","IS","ISL",353574,"Europe",2019.99726027397,0
"2",5803,"01/01/2020",1,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020,0
"3",5802,"02/01/2020",2,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.00273224044,0
"4",5801,"03/01/2020",3,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.00546448087,0
"5",5800,"04/01/2020",4,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.00819672131,0
"6",5799,"05/01/2020",5,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.01092896175,0
"7",5798,"06/01/2020",6,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.01366120219,0
"8",5797,"07/01/2020",7,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.01639344262,0
"9",5796,"08/01/2020",8,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.01912568306,0
"10",5795,"09/01/2020",9,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.0218579235,0
"11",5794,"10/01/2020",10,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.02459016393,0
"12",5793,"11/01/2020",11,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.02732240437,0
"13",5792,"12/01/2020",12,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.03005464481,0
"14",5791,"13/01/2020",13,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.03278688525,0
"15",5790,"14/01/2020",14,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.03551912568,0
"16",5789,"15/01/2020",15,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.03825136612,0
"17",5788,"16/01/2020",16,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.04098360656,0
"18",5787,"17/01/2020",17,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.04371584699,0
"19",5786,"18/01/2020",18,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.04644808743,0
"20",5785,"19/01/2020",19,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.04918032787,0
"21",5784,"20/01/2020",20,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.05191256831,0
"22",5783,"21/01/2020",21,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.05464480874,0
"23",5782,"22/01/2020",22,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.05737704918,0
"24",5781,"23/01/2020",23,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.06010928962,0
"25",5780,"24/01/2020",24,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.06284153005,0
"26",5779,"25/01/2020",25,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.06557377049,0
"27",5778,"26/01/2020",26,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.06830601093,0
"28",5777,"27/01/2020",27,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.07103825137,0
"29",5776,"28/01/2020",28,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.0737704918,0
"30",5775,"29/01/2020",29,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.07650273224,0
"31",5774,"30/01/2020",30,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.07923497268,0
"32",5773,"31/01/2020",31,1,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.08196721311,0
"33",5772,"01/02/2020",1,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.08469945355,0
"34",5771,"02/02/2020",2,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.08743169399,0
"35",5770,"03/02/2020",3,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.09016393443,0
"36",5769,"04/02/2020",4,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.09289617486,0
"37",5768,"05/02/2020",5,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.0956284153,0
"38",5767,"06/02/2020",6,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.09836065574,0
"39",5766,"07/02/2020",7,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.10109289617,0
"40",5765,"08/02/2020",8,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.10382513661,0
"41",5764,"09/02/2020",9,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.10655737705,0
"42",5763,"10/02/2020",10,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.10928961749,0
"43",5762,"11/02/2020",11,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.11202185792,0
"44",5761,"12/02/2020",12,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.11475409836,0
"45",5760,"13/02/2020",13,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.1174863388,0
"46",5759,"14/02/2020",14,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.12021857923,0
"47",5758,"15/02/2020",15,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.12295081967,0
"48",5757,"16/02/2020",16,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.12568306011,0
"49",5756,"17/02/2020",17,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.12841530055,0
"50",5755,"18/02/2020",18,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.13114754098,0
"51",5754,"19/02/2020",19,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.13387978142,0
"52",5753,"20/02/2020",20,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.13661202186,0
"53",5752,"21/02/2020",21,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.1393442623,0
"54",5751,"22/02/2020",22,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.14207650273,0
"55",5750,"23/02/2020",23,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.14480874317,0
"56",5749,"24/02/2020",24,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.14754098361,0
"57",5748,"25/02/2020",25,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.15027322404,0
"58",5747,"26/02/2020",26,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.15300546448,0
"59",5746,"27/02/2020",27,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.15573770492,0
"60",5745,"28/02/2020",28,2,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.15846994536,1
"61",5744,"29/02/2020",29,2,2020,1,0,"Iceland","IS","ISL",353574,"Europe",2020.16120218579,1
"62",5743,"01/03/2020",1,3,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.16393442623,4
"63",5742,"02/03/2020",2,3,2020,2,0,"Iceland","IS","ISL",353574,"Europe",2020.16666666667,10
"64",5741,"03/03/2020",3,3,2020,3,0,"Iceland","IS","ISL",353574,"Europe",2020.1693989071,15
"65",5740,"04/03/2020",4,3,2020,10,0,"Iceland","IS","ISL",353574,"Europe",2020.17213114754,29
"66",5739,"05/03/2020",5,3,2020,10,0,"Iceland","IS","ISL",353574,"Europe",2020.17486338798,37
"67",5738,"06/03/2020",6,3,2020,9,0,"Iceland","IS","ISL",353574,"Europe",2020.17759562842,47
"68",5737,"07/03/2020",7,3,2020,8,0,"Iceland","IS","ISL",353574,"Europe",2020.18032786885,54
"69",5736,"08/03/2020",8,3,2020,10,0,"Iceland","IS","ISL",353574,"Europe",2020.18306010929,59
"70",5735,"09/03/2020",9,3,2020,2,0,"Iceland","IS","ISL",353574,"Europe",2020.18579234973,68
"71",5734,"10/03/2020",10,3,2020,10,0,"Iceland","IS","ISL",353574,"Europe",2020.18852459016,82
"72",5733,"11/03/2020",11,3,2020,5,0,"Iceland","IS","ISL",353574,"Europe",2020.1912568306,106
"73",5732,"12/03/2020",12,3,2020,15,0,"Iceland","IS","ISL",353574,"Europe",2020.19398907104,122
"74",5731,"13/03/2020",13,3,2020,32,0,"Iceland","IS","ISL",353574,"Europe",2020.19672131148,142
"75",5730,"14/03/2020",14,3,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.19945355191,164
"76",5729,"15/03/2020",15,3,2020,21,0,"Iceland","IS","ISL",353574,"Europe",2020.20218579235,183
"77",5728,"16/03/2020",16,3,2020,40,0,"Iceland","IS","ISL",353574,"Europe",2020.20491803279,203
"78",5727,"17/03/2020",17,3,2020,21,0,"Iceland","IS","ISL",353574,"Europe",2020.20765027322,251
"79",5726,"18/03/2020",18,3,2020,48,0,"Iceland","IS","ISL",353574,"Europe",2020.21038251366,319
"80",5725,"19/03/2020",19,3,2020,3,0,"Iceland","IS","ISL",353574,"Europe",2020.2131147541,391
"81",5724,"20/03/2020",20,3,2020,80,1,"Iceland","IS","ISL",353574,"Europe",2020.21584699454,440
"82",5723,"21/03/2020",21,3,2020,79,0,"Iceland","IS","ISL",353574,"Europe",2020.21857923497,529
"83",5722,"22/03/2020",22,3,2020,64,0,"Iceland","IS","ISL",353574,"Europe",2020.22131147541,549
"84",5721,"23/03/2020",23,3,2020,95,0,"Iceland","IS","ISL",353574,"Europe",2020.22404371585,602
"85",5720,"24/03/2020",24,3,2020,20,1,"Iceland","IS","ISL",353574,"Europe",2020.22677595628,699
"86",5719,"25/03/2020",25,3,2020,60,0,"Iceland","IS","ISL",353574,"Europe",2020.22950819672,725
"87",5718,"26/03/2020",26,3,2020,89,0,"Iceland","IS","ISL",353574,"Europe",2020.23224043716,797
"88",5717,"27/03/2020",27,3,2020,65,0,"Iceland","IS","ISL",353574,"Europe",2020.2349726776,850
"89",5716,"28/03/2020",28,3,2020,88,0,"Iceland","IS","ISL",353574,"Europe",2020.23770491803,893
"90",5715,"29/03/2020",29,3,2020,73,0,"Iceland","IS","ISL",353574,"Europe",2020.24043715847,940
"91",5714,"30/03/2020",30,3,2020,57,0,"Iceland","IS","ISL",353574,"Europe",2020.24316939891,957
"92",5713,"31/03/2020",31,3,2020,66,0,"Iceland","IS","ISL",353574,"Europe",2020.24590163934,990
"93",5712,"01/04/2020",1,4,2020,49,0,"Iceland","IS","ISL",353574,"Europe",2020.24863387978,1045
"94",5711,"02/04/2020",2,4,2020,85,0,"Iceland","IS","ISL",353574,"Europe",2020.25136612022,1046
"95",5710,"03/04/2020",3,4,2020,99,2,"Iceland","IS","ISL",353574,"Europe",2020.25409836066,1019
"96",5709,"04/04/2020",4,4,2020,45,0,"Iceland","IS","ISL",353574,"Europe",2020.25683060109,1056
"97",5708,"05/04/2020",5,4,2020,53,0,"Iceland","IS","ISL",353574,"Europe",2020.25956284153,1096
"98",5707,"06/04/2020",6,4,2020,69,0,"Iceland","IS","ISL",353574,"Europe",2020.26229508197,1021
"99",5706,"07/04/2020",7,4,2020,76,2,"Iceland","IS","ISL",353574,"Europe",2020.2650273224,977
"100",5705,"08/04/2020",8,4,2020,24,0,"Iceland","IS","ISL",353574,"Europe",2020.26775956284,954
"101",5704,"09/04/2020",9,4,2020,30,0,"Iceland","IS","ISL",353574,"Europe",2020.27049180328,918
"102",5703,"10/04/2020",10,4,2020,32,0,"Iceland","IS","ISL",353574,"Europe",2020.27322404372,840
"103",5702,"11/04/2020",11,4,2020,27,1,"Iceland","IS","ISL",353574,"Europe",2020.27595628415,802
"104",5701,"12/04/2020",12,4,2020,14,1,"Iceland","IS","ISL",353574,"Europe",2020.27868852459,767
"105",5700,"13/04/2020",13,4,2020,12,0,"Iceland","IS","ISL",353574,"Europe",2020.28142076503,725
"106",5699,"14/04/2020",14,4,2020,10,0,"Iceland","IS","ISL",353574,"Europe",2020.28415300546,642
"107",5698,"15/04/2020",15,4,2020,9,0,"Iceland","IS","ISL",353574,"Europe",2020.2868852459,586
"108",5697,"16/04/2020",16,4,2020,7,0,"Iceland","IS","ISL",353574,"Europe",2020.28961748634,520
"109",5696,"17/04/2020",17,4,2020,12,0,"Iceland","IS","ISL",353574,"Europe",2020.29234972678,458
"110",5695,"18/04/2020",18,4,2020,15,0,"Iceland","IS","ISL",353574,"Europe",2020.29508196721,432
"111",5694,"19/04/2020",19,4,2020,6,1,"Iceland","IS","ISL",353574,"Europe",2020.29781420765,400
"112",5693,"20/04/2020",20,4,2020,11,0,"Iceland","IS","ISL",353574,"Europe",2020.30054644809,350
"113",5692,"21/04/2020",21,4,2020,2,1,"Iceland","IS","ISL",353574,"Europe",2020.30327868852,311
"114",5691,"22/04/2020",22,4,2020,5,0,"Iceland","IS","ISL",353574,"Europe",2020.30601092896,264
"115",5690,"23/04/2020",23,4,2020,7,0,"Iceland","IS","ISL",353574,"Europe",2020.3087431694,231
"116",5689,"24/04/2020",24,4,2020,4,0,"Iceland","IS","ISL",353574,"Europe",2020.31147540984,205
"117",5688,"25/04/2020",25,4,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.31420765027,172
"118",5687,"26/04/2020",26,4,2020,1,0,"Iceland","IS","ISL",353574,"Europe",2020.31693989071,156
"119",5686,"27/04/2020",27,4,2020,2,0,"Iceland","IS","ISL",353574,"Europe",2020.31967213115,146
"120",5685,"28/04/2020",28,4,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.32240437158,128
"409",5685,"29/04/2020",29,4,2020,3,0,"Iceland","IS","ISL",353574,"Europe",2020.32513661202,114
"408",5685,"30/04/2020",30,4,2020,2,0,"Iceland","IS","ISL",353574,"Europe",2020.32786885246,98
"407",5685,"01/05/2020",1,5,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.3306010929,80
"406",5685,"02/05/2020",2,5,2020,1,0,"Iceland","IS","ISL",353574,"Europe",2020.33333333333,71
"405",5685,"03/05/2020",3,5,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.33606557377,65
"404",5685,"04/05/2020",4,5,2020,1,0,"Iceland","IS","ISL",353574,"Europe",2020.33879781421,56
"403",5685,"05/05/2020",5,5,2020,0,0,"Iceland","IS","ISL",353574,"Europe",2020.34153005464,39
