"DateRep","Deaths","Cases","Countries.and.territories"
"10/07/2020",4,1127,"Spain_1st"
"09/07/2020",2,931,"Spain_1st"
"08/07/2020",4,901,"Spain_1st"
"07/07/2020",4,791,"Spain_1st"
"06/07/2020",4,712,"Spain_1st"
"05/07/2020",0,428,"Spain_1st"
"04/07/2020",6,417,"Spain_1st"
"03/07/2020",5,547,"Spain_1st"
"02/07/2020",1,422,"Spain_1st"
"01/07/2020",10,543,"Spain_1st"
"30/06/2020",10,431,"Spain_1st"
"29/06/2020",9,395,"Spain_1st"
"28/06/2020",11,255,"Spain_1st"
"27/06/2020",3,297,"Spain_1st"
"26/06/2020",8,390,"Spain_1st"
"25/06/2020",11,355,"Spain_1st"
"24/06/2020",12,395,"Spain_1st"
"23/06/2020",9,341,"Spain_1st"
"22/06/2020",6,301,"Spain_1st"
"21/06/2020",15,232,"Spain_1st"
"20/06/2020",13,251,"Spain_1st"
"19/06/2020",19,272,"Spain_1st"
"18/06/2020",11,297,"Spain_1st"
"17/06/2020",23,292,"Spain_1st"
"16/06/2020",12,278,"Spain_1st"
"15/06/2020",20,313,"Spain_1st"
"14/06/2020",18,148,"Spain_1st"
"13/06/2020",21,130,"Spain_1st"
"12/06/2020",19,336,"Spain_1st"
"11/06/2020",24,296,"Spain_1st"
"10/06/2020",29,328,"Spain_1st"
"09/06/2020",13,320,"Spain_1st"
"08/06/2020",29,379,"Spain_1st"
"07/06/2020",20,188,"Spain_1st"
"06/06/2020",30,228,"Spain_1st"
"05/06/2020",23,445,"Spain_1st"
"04/06/2020",45,369,"Spain_1st"
"03/06/2020",38,419,"Spain_1st"
"02/06/2020",47,373,"Spain_1st"
"01/06/2020",34,394,"Spain_1st"
"31/05/2020",39,213,"Spain_1st"
"30/05/2020",43,281,"Spain_1st"
"29/05/2020",43,472,"Spain_1st"
"28/05/2020",40,499,"Spain_1st"
"27/05/2020",45,401,"Spain_1st"
"26/05/2020",56,538,"Spain_1st"
"25/05/2020",66,530,"Spain_1st"
"24/05/2020",55,268,"Spain_1st"
"23/05/2020",58,302,"Spain_1st"
"22/05/2020",71,535,"Spain_1st"
"21/05/2020",69,486,"Spain_1st"
"20/05/2020",56,443,"Spain_1st"
"19/05/2020",67,547,"Spain_1st"
"18/05/2020",72,523,"Spain_1st"
"17/05/2020",61,272,"Spain_1st"
"16/05/2020",63,310,"Spain_1st"
"15/05/2020",77,541,"Spain_1st"
"14/05/2020",86,510,"Spain_1st"
"13/05/2020",87,542,"Spain_1st"
"12/05/2020",113,501,"Spain_1st"
"11/05/2020",122,541,"Spain_1st"
"10/05/2020",110,262,"Spain_1st"
"09/05/2020",125,233,"Spain_1st"
"08/05/2020",145,297,"Spain_1st"
"07/05/2020",165,314,"Spain_1st"
"06/05/2020",152,296,"Spain_1st"
"05/05/2020",182,311,"Spain_1st"
"04/05/2020",186,508,"Spain_1st"
"03/05/2020",196,446,"Spain_1st"
"02/05/2020",201,662,"Spain_1st"
"01/05/2020",176,738,"Spain_1st"
"30/04/2020",223,746,"Spain_1st"
"29/04/2020",235,752,"Spain_1st"
"28/04/2020",259,854,"Spain_1st"
"27/04/2020",258,703,"Spain_1st"
"26/04/2020",271,560,"Spain_1st"
"25/04/2020",295,756,"Spain_1st"
"24/04/2020",330,1120,"Spain_1st"
"23/04/2020",331,1184,"Spain_1st"
"22/04/2020",341,1471,"Spain_1st"
"21/04/2020",427,1326,"Spain_1st"
"20/04/2020",385,1482,"Spain_1st"
"19/04/2020",400,1145,"Spain_1st"
"18/04/2020",435,1670,"Spain_1st"
"17/04/2020",503,1910,"Spain_1st"
"16/04/2020",486,2290,"Spain_1st"
"15/04/2020",552,2376,"Spain_1st"
"14/04/2020",605,2253,"Spain_1st"
"13/04/2020",587,2189,"Spain_1st"
"12/04/2020",544,2261,"Spain_1st"
"11/04/2020",626,2874,"Spain_1st"
"10/04/2020",672,3170,"Spain_1st"
"09/04/2020",666,3278,"Spain_1st"
"08/04/2020",743,3471,"Spain_1st"
"07/04/2020",735,3193,"Spain_1st"
"06/04/2020",757,3524,"Spain_1st"
"05/04/2020",748,3209,"Spain_1st"
"04/04/2020",737,3664,"Spain_1st"
"03/04/2020",782,4456,"Spain_1st"
"02/04/2020",848,4450,"Spain_1st"
"01/04/2020",891,5479,"Spain_1st"
"31/03/2020",895,4410,"Spain_1st"
"30/03/2020",909,5139,"Spain_1st"
"29/03/2020",809,4242,"Spain_1st"
"28/03/2020",838,5358,"Spain_1st"
"27/03/2020",906,6057,"Spain_1st"
"26/03/2020",862,6348,"Spain_1st"
"25/03/2020",813,6942,"Spain_1st"
"24/03/2020",717,7113,"Spain_1st"
"23/03/2020",679,8268,"Spain_1st"
"22/03/2020",543,6770,"Spain_1st"
"21/03/2020",501,7424,"Spain_1st"
"20/03/2020",429,10654,"Spain_1st"
"19/03/2020",314,8654,"Spain_1st"
"18/03/2020",238,8957,"Spain_1st"
"17/03/2020",186,8832,"Spain_1st"
"16/03/2020",178,9470,"Spain_1st"
"15/03/2020",129,7935,"Spain_1st"
"14/03/2020",104,7450,"Spain_1st"
"13/03/2020",79,7816,"Spain_1st"
"12/03/2020",56,5939,"Spain_1st"
"11/03/2020",35,4735,"Spain_1st"
"10/03/2020",26,4665,"Spain_1st"
"09/03/2020",16,3402,"Spain_1st"
"08/03/2020",14,2190,"Spain_1st"
"07/03/2020",3,1857,"Spain_1st"
"06/03/2020",3,1621,"Spain_1st"
"05/03/2020",1,1280,"Spain_1st"
"04/03/2020",2,951,"Spain_1st"
"03/03/2020",1,795,"Spain_1st"
"02/03/2020",0,803,"Spain_1st"
"01/03/2020",0,689,"Spain_1st"
"29/02/2020",0,244,"Spain_1st"
"28/02/2020",0,322,"Spain_1st"
"27/02/2020",0,184,"Spain_1st"
"26/02/2020",0,152,"Spain_1st"
"25/02/2020",0,132,"Spain_1st"
"24/02/2020",0,110,"Spain_1st"
"23/02/2020",0,75,"Spain_1st"
"22/02/2020",0,59,"Spain_1st"
"21/02/2020",0,61,"Spain_1st"
"20/02/2020",0,56,"Spain_1st"
"19/02/2020",0,19,"Spain_1st"
"18/02/2020",0,27,"Spain_1st"
"17/02/2020",0,28,"Spain_1st"
"16/02/2020",0,25,"Spain_1st"
"15/02/2020",0,34,"Spain_1st"
"14/02/2020",0,19,"Spain_1st"
"13/02/2020",1,25,"Spain_1st"
"12/02/2020",0,24,"Spain_1st"
"11/02/2020",0,15,"Spain_1st"
"10/02/2020",0,22,"Spain_1st"
"09/02/2020",0,3,"Spain_1st"
"08/02/2020",0,9,"Spain_1st"
"07/02/2020",0,15,"Spain_1st"
"06/02/2020",0,11,"Spain_1st"
"05/02/2020",0,7,"Spain_1st"
"04/02/2020",0,10,"Spain_1st"
"03/02/2020",0,14,"Spain_1st"
"02/02/2020",0,13,"Spain_1st"
"01/02/2020",0,20,"Spain_1st"
"31/01/2020",0,4,"Spain_1st"
"30/01/2020",0,2,"Spain_1st"
"29/01/2020",0,5,"Spain_1st"
"28/01/2020",0,1,"Spain_1st"
"27/01/2020",0,3,"Spain_1st"
"26/01/2020",0,1,"Spain_1st"
"25/01/2020",0,1,"Spain_1st"
"24/01/2020",0,1,"Spain_1st"
"23/01/2020",0,3,"Spain_1st"
"22/01/2020",0,0,"Spain_1st"
"21/01/2020",0,0,"Spain_1st"
"20/01/2020",0,5,"Spain_1st"
"19/01/2020",0,0,"Spain_1st"
"18/01/2020",0,2,"Spain_1st"
"17/01/2020",0,2,"Spain_1st"
"16/01/2020",0,1,"Spain_1st"
"15/01/2020",0,1,"Spain_1st"
"14/01/2020",0,0,"Spain_1st"
"13/01/2020",0,3,"Spain_1st"
"12/01/2020",0,2,"Spain_1st"
"11/01/2020",0,1,"Spain_1st"
"10/01/2020",0,1,"Spain_1st"
"09/01/2020",0,0,"Spain_1st"
"08/01/2020",0,1,"Spain_1st"
"07/01/2020",0,0,"Spain_1st"
"06/01/2020",0,0,"Spain_1st"
"05/01/2020",0,0,"Spain_1st"
"04/01/2020",0,0,"Spain_1st"
